id,name,area,party,birth_date,image,type,term,source,area_id
112,Abdoulie Bojang,"","",1960-02-17,http://www.assembly.gov.gm/images/stories/members/abdouliebojang.jpg,nominated,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=112:hon-abdoulie-bojang&catid=53:members-of-parliament&Itemid=90,
127,Fatou Mbye,"","",1954-06-07,http://www.assembly.gov.gm/images/stories/members/hon.%20fatou%20mbye%20deputy%20speaker.jpg,nominated,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=127:hon-fatou-mbye&catid=53:members-of-parliament&Itemid=90,
98,Fabakary Tombong Jatta,Serrekunda East,APRC,1952-11-16,http://www.assembly.gov.gm/images/stories/members/fabakary-tombo-jatta.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=98:hon-fabakary-tombong-jatta&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:serrekunda-east
105,Bintanding Jarju,"","",1957-04-10,http://www.assembly.gov.gm/images/stories/members/bintajarju.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=105:hon-bintanding-jarju&catid=53:members-of-parliament&Itemid=90,
115,Netty Baldeh,Tumana,"",,http://www.assembly.gov.gm/images/stories/members/netty-baldeh.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=115:hon-netty-baldeh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:tumana
116,Sulayman Joof,Serrekunda West,"",1945-01-15,http://www.assembly.gov.gm/images/stories/members/sulayman-joof.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=116:hon-sulayman-joof&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:serrekunda-west
122,Abdoulie Kanaji Jawla,Sandu,"",1956-11-11,http://www.assembly.gov.gm/images/stories/members/aboulie-k-jawla.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=122:hon-abdoulie-kanaji-jawla&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:sandu
121,Ablie Suku Sighateh,Lower Baddibu,"",1970-02-10,http://www.assembly.gov.gm/images/stories/members/suku-sighateh.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=121:hon-ablie-suku-sighateh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:lower-baddibu
78,Lamin Kebba Jammeh,Illiassa,"",1963-02-18,http://www.assembly.gov.gm/images/stories/members/member2.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=78:hon-lamin-kebba-jammeh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:illiassa
84,Ebrima Jammeh,Foni Bintang,Independent Candidate,1972-01-15,http://www.assembly.gov.gm/images/stories/members/p1050472.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=84:hon-ebrima-jammeh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:foni-bintang
79,Alhagi Sillah,Banjul North,APRC,1955-01-07,http://www.assembly.gov.gm/images/stories/members/p1050405.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=79:hon-alhagi-sillah&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:banjul-north
80,Foday A. Jallow,Niamina East,APRC,1975-07-22,http://www.assembly.gov.gm/images/stories/member4.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=80:hon-foday-a-jallow-&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:niamina-east
81,Ousman Bah,Sabach Sanjal,APRC,1969-09-20,http://www.assembly.gov.gm/images/stories/member3.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=81:hon-ousman-bah-&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:sabach-sanjal
82,Ousainou Sainey Jaiteh,Serrekunda Central,APRC,,http://www.assembly.gov.gm/images/stories/members/p1050424.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=82:hon-ousainou-sainey-jaiteh-&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:serrekunda-central
89,Bafaye Saidykhan,Jarra East,APRC,1971-06-01,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=89:hon-bafaye-saidykhan&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jarra-east
91,Abdoulie Saine,Banjul Central,"",1955-11-19,http://www.assembly.gov.gm/images/stories/members/p1050508.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=91:hon-abdoulie-saine&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:banjul-central
93,Alh. Seedy S.K. Njie,"","",1984-10-06,http://www.assembly.gov.gm/images/stories/members/p1050516.jpg,nominated,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=93:hon-alh-seedy-sk-njie&catid=53:members-of-parliament&Itemid=90,
95,Lamin Jadama,Niamina West,APRC,1963-01-01,http://www.assembly.gov.gm/images/stories/members/lamin-jadama.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=95:hon-lamin-jadama&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:niamina-west
97,Foday Jibani Manka,Janjanbureh,APRC,1946-11-20,http://www.assembly.gov.gm/images/stories/members/foday-manka.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=97:hon-foday-jibani-manka&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:janjanbureh
99,Haddy Nyang Jagne,Jeswang,APRC,1960-04-10,http://www.assembly.gov.gm/images/stories/members/hadday-nyang-jahne.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=99:hon-haddy-nyang-jagne&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jeswang
103,Sainey Mbye,Upper Saloum,"",1973-04-20,http://www.assembly.gov.gm/images/stories/members/sainey-mbaye.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=103:hon-sainey-mbye&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:upper-saloum
107,Kalifa B Jammeh,Bakau,"",1963-08-01,http://www.assembly.gov.gm/images/stories/members/kalifabjammeh.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=107:hon-kalifa-b-jammeh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:bakau
110,Njai Daboe,Jarra West,"",,http://www.assembly.gov.gm/images/stories/members/njiedabo.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=110:hon-njai-daboe&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jarra-west
113,Bora B Mass,Kiang East,APRC,1972-04-12,http://www.assembly.gov.gm/images/stories/members/borabmass.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=113:hon-bora-b-mass&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kiang-east
119,Borrie L.S.B.Kolley,Foni Jarrol,"",,http://www.assembly.gov.gm/images/stories/members/borrie-l.s.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=119:hon-borrie-lsbkolley&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:foni-jarrol
123,Omar Cherno Jallow,Upper Niumi,"",1959-08-07,http://www.assembly.gov.gm/images/stories/members/omarchernojallow.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=123:hon-omar-cherno-jallow&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:upper-niumi
126,Alhagi Matarr Kujabi,Foni Bondali,APRC,1969-05-11,http://www.assembly.gov.gm/images/stories/members/mutarrkujabi.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=126:hon-alhagi-matarr-kujabi&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:foni-bondali
118,Babucarr S Nyang,Banjul South,APRC,,http://www.assembly.gov.gm/images/stories/members/babucarrsnjang.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=118:hon-babucarr-s-nyang-&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:banjul-south
129,Saidou V. Sabally,Wulli East,"",1968-10-27,http://www.assembly.gov.gm/images/stories/members/hon.%20saidou%20sabally%20member%20for%20wuli%20east.jpg,elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=129:hon-saidou-v-sabally&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:wulli-east
131,Saikou Susso,Kantora,"",1959-11-10,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=131:hon-saikou-susso&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kantora
144,Samba cham,Central Baddibu,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=144:hon-samba-cham&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:central-baddibu
145,Abdou Colley,Kombo South,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=145:hon-abdou-colley&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kombo-south
146,Yaya Dibba,Kiang West,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=146:hon-yaya-dibba&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kiang-west
147,Bubacarr S. Fadera,Kiang Centeral,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=147:hon-bubacarr-s-fadera&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kiang-centeral
148,Lamin Hydara,Jarra central,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=148:hon-lamin-hydara&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jarra-central
149,Alh. Kasum Jallow,Wuli West,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=149:hon-alh-kassum-jallow&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:wuli-west
150,Habsana Jallow,Nianija,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=150:hon-habasana-jallow&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:nianija
151,Samba Jallow,Niamina Dankunku,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=151:hon-samba-jallow&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:niamina-dankunku
152,Pa Lamin Jatta,Kombo North,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=152:hon-pa-lamin-jatta&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kombo-north
153,Habiboulie K. Jawo,Jimara,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=153:hon-habiboulie-k-jawo&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jimara
154,Amadou Khan,Jokadu,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=154:hon-amadou-khan&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:jokadu
155,Muhammed Magassy,Basse,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=155:hon-muhammed-magassy&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:basse
156,Ahmad Malick Njie,Upper Fulladu West,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=156:hon-ahmad-malick-njie&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:upper-fulladu-west
141,Alhasana Bojang,Kombo East,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=141:hon-alahasana-bojang&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kombo-east
143,Buba A. Bojang,Foni Kansala,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=143:hon-buba-a-bojang&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:foni-kansala
157,Ousman Njie,Sami,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=157:hon-ousman-njie&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:sami
158,Demba B.T. Sambou,Niani,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=158:hon-demba-btsambou&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:niani
159,Buba Ayi Sanneh,Kombo Central,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=159:hon-buba-ayi-sanneh&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:kombo-central
160,Omar Tobb,Lower Fulladu West,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=160:hon-omar-tobb&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:lower-fulladu-west
161,Sheriff M. Hydara,lower Nuimi,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=161:hon-sheriff-mhydara&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:lower-nuimi
162,Babou Gaye Sonko,"","",,"",nominated,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=162:hon-babou-gaye-sonko&catid=53:members-of-parliament&Itemid=90,
163,Rtd. Cpt. Lamin Saine,"","",,"",nominated,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=163:hon-rtdcptlamin-saine&catid=53:members-of-parliament&Itemid=90,
142,Pa Malick Ceesay,Lower Saloum,"",,"",elected,2012,http://www.assembly.gov.gm/index.php?option=com_content&view=article&id=142:hon-pa-malick-ceesay&catid=53:members-of-parliament&Itemid=90,ocd-division/country:gm/constituency:lower-saloum
