name,area,image,term,source,id
Dr. Rufus Washington Ewing,All Island District,https://lh6.googleusercontent.com/--SCaVgExEkA/VE_tnGEk6bI/AAAAAAAAAN4/eJTSCXVfF_g/w721-h577-no/dr-rufus-ewing.JPG,2012,http://www.gov.tc/index.php/hon-dr-rufus-washington-ewing,dr._rufus_washington_ewing
Akierra Mary Deanne Missick,Leeward,https://lh5.googleusercontent.com/-j8C1vgFGa-Q/VE_todgs8gI/AAAAAAAAAOo/hDlNlutEmSQ/w721-h577-no/hon-akierra-missick.png,2012,http://www.gov.tc/index.php/hon-akierra-mary-deanne-missick,akierra_mary_deanne_missick
Charles Washington Misick,All Island District,https://lh5.googleusercontent.com/-2_WkSa0gBxQ/VE_tt2Y2GNI/AAAAAAAAAQk/vmjFDo-2NMU/w721-h577-no/hon-washington-misick.JPG,2012,http://www.gov.tc/index.php/hon-charles-washington-misick,charles_washington_misick
George Alexander Lightbourne,Grand Turk North,https://lh4.googleusercontent.com/-mH5dgfvpBSQ/VE_tpwDjnnI/AAAAAAAAAO8/HDTcLcdIiH0/w721-h577-no/hon-george-lightbourne.JPG,2012,http://www.gov.tc/index.php/hon-george-alexander-lightbourne,george_alexander_lightbourne
Ricardo Don-Hue Gardiner,North and Middle Caicos,https://lh6.googleusercontent.com/-Obv6dn5OE5s/VE_tr2MJ8sI/AAAAAAAAAPw/tx-dFCrpWBA/w721-h577-no/hon-ricardo-don-hue-gardiner.JPG,2012,http://www.gov.tc/index.php/hon-ricardo-don-hue-gardiner,ricardo_don-hue_gardiner
Porsha Monique Stubbs-Smith,The Bight,https://lh3.googleusercontent.com/-8Bwmp2S-Zfg/VE_tran2tWI/AAAAAAAAAPs/gU4ajC-hMsk/w721-h577-no/hon-porsha-stubbs-smith.JPG,2012,http://www.gov.tc/index.php/hon-porsha-stubbs-smith,porsha_monique_stubbs-smith
Amanda Missick,Cheshire Hall and Richmond Hill,https://lh3.googleusercontent.com/-25MXEVeNxU0/VE_too2B1JI/AAAAAAAAAOY/VKD4gUOR-Vs/w721-h577-no/hon-amanda-misick.JPG,2012,http://www.gov.tc/index.php/hon-amanda-misick,amanda_missick
Norman Benjamin Saunders,South Caicos,https://lh3.googleusercontent.com/-0RxfNPyCYCo/VE_trBrFuhI/AAAAAAAAAPc/cLbhuQXwqfI/w721-h577-no/hon-norman-saunders.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,norman_benjamin_saunders
Sharlene Linette Catrwright-Robinson,All Island District,https://lh3.googleusercontent.com/-PhisVKBnhGU/VE_tt4TmZFI/AAAAAAAAAQ0/HPXv54geCmU/w721-h577-no/hon-sharlene-cartwright-robinson.png,2012,http://www.gov.tc/index.php/government/house-of-assembly,sharlene_linette_catrwright-robinson
Derek Taylor,All Island District,https://lh5.googleusercontent.com/-yP39HgAAXYg/VE_tp_TosjI/AAAAAAAAAQU/XF0qxoQLmx4/w721-h577-no/hon-derek-taylor.png,2012,http://www.gov.tc/index.php/government/house-of-assembly,derek_taylor
Josephine Conolly,All Island District,https://lh5.googleusercontent.com/-pNXe7tMdaaM/VE_tqz8oydI/AAAAAAAAAPU/jzLK8GTUfbA/w721-h577-no/hon-josephine-conolly.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,josephine_conolly
Goldray McMillin Ewing,Blue Hills,https://lh4.googleusercontent.com/IA9vUNEdwPtI0xwgibrG6rdWNtit3T7Y1OXcE5s8jBU=w721-h577-no,2012,http://www.gov.tc/index.php/government/house-of-assembly,goldray_mcmillin_ewing
Vaden Delroy Williams,Wheeland,https://lh6.googleusercontent.com/-R71ffV0z9GE/VE_tpSuZm6I/AAAAAAAAAO0/UlbEPM2Pql8/w769-h577-no/hon-delroy-williams.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,vaden_delroy_williams
Sean Rickard Astwood,Five Cays,https://lh4.googleusercontent.com/-gT4HiPMc2Sk/VE_tsyBPfjI/AAAAAAAAAQM/EC6y3WfJAhM/w721-h577-no/hon-sean-astwood.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,sean_rickard_astwood
Ruth Delores Blackman,Government’s Appointed Member,https://lh3.googleusercontent.com/-v92p1uCR0yE/VE_tutNBQRI/AAAAAAAAAQ4/7fM0dzhIzv4/w721-h577-no/pnp-appointed.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,ruth_delores_blackman
Clarence Selver,Opposition’s Appointed Member,https://lh5.googleusercontent.com/-FTfwjasxQx4/VE_torLlvLI/AAAAAAAAAOk/LgELricFmbE/w721-h577-no/hon-clarence-selver.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,clarence_selver
Lillian Swann-Misick,Governor’s Appointed Member,https://lh5.googleusercontent.com/-lGg6MF_USn4/VE_tnWF21gI/AAAAAAAAAOU/FKBwsrZBiwg/w721-h577-no/gov-appointed.png,2012,http://www.gov.tc/index.php/government/house-of-assembly,lillian_swann-misick
John Philips,Governor’s Appointed Member,https://lh4.googleusercontent.com/-ZZdvuyz9lN4/VE_tqtKkudI/AAAAAAAAAP8/Gc66Nx5ECOo/w721-h577-no/hon-john-philips.JPG,2012,http://www.gov.tc/index.php/government/house-of-assembly,john_philips
